Date,Open,High,Low,Close,Adj Close,Volume
1998-07-20,4.891411,4.898765,4.758793,4.810358,3.741837,8655911
1998-07-21,4.780893,4.795626,4.589361,4.736692,3.684534,8994829
1998-07-22,4.744061,4.825090,4.633562,4.685127,3.644423,10702321
1998-07-23,4.412566,4.434666,4.103171,4.162100,3.237576,46356215
1998-07-24,4.058970,4.346264,3.992673,4.007405,3.117243,21242526
1998-07-27,4.036869,4.066338,3.941103,3.977941,3.094324,9304972
1998-07-28,4.066338,4.140004,4.029505,4.110535,3.197465,7594554
1998-07-29,4.117903,4.287335,4.103171,4.221033,3.283418,6983937
1998-07-30,4.235770,4.397833,4.221033,4.375733,3.403754,7578722
1998-07-31,4.405197,4.456767,4.198932,4.309436,3.352185,13853862
1998-08-03,4.228402,4.250502,4.029505,4.088439,3.180277,6634456
1998-08-04,4.117903,4.117903,4.117903,4.117903,3.203196,3193358
1998-08-05,4.007405,4.088439,3.977941,4.066338,3.163086,7174103
1998-08-06,4.044238,4.058970,3.955840,4.051606,3.151626,4619154
1998-08-07,4.191569,4.375733,4.154736,4.346264,3.380831,12257908
1998-08-10,4.375733,4.383116,4.243134,4.302067,3.346452,5800614
1998-08-11,4.184200,4.213669,3.985304,3.985304,3.100051,10979244
1998-08-12,4.051606,4.132635,4.000036,4.088439,3.180277,9507860
1998-08-13,4.088439,4.103171,3.992673,4.051606,3.151626,4390027
1998-08-14,4.022137,4.051606,3.977941,4.014773,3.122974,4884613
1998-08-17,3.963204,3.992673,3.948471,3.977941,3.094324,3292368
1998-08-18,4.051606,4.147367,4.007405,4.125267,3.208925,5523738
1998-08-19,4.198932,4.206301,4.036869,4.051606,3.151626,7756785
1998-08-20,4.000036,4.007405,3.786408,3.793777,2.951069,9839607
1998-08-21,3.720111,3.749575,3.572775,3.639077,2.830732,13119354
1998-08-24,3.646445,3.675910,3.432812,3.558043,2.767698,11681677
1998-08-25,3.572775,3.749575,3.558043,3.742207,2.910953,6163980
1998-08-26,3.683273,3.683273,3.388616,3.462282,2.693208,9164019
1998-08-27,3.477014,3.513846,3.351783,3.388616,2.635906,7835258
1998-08-28,3.241285,3.351783,3.189715,3.241285,2.521301,11991772
1998-08-31,3.292850,3.314950,2.836124,2.909790,2.263440,16810658
1998-09-01,2.593027,2.872957,2.593027,2.732989,2.125912,12471020
1998-09-02,3.012920,3.020288,2.902421,2.946623,2.292092,11935783
1998-09-03,2.865588,2.865588,2.622491,2.718257,2.114453,7526818
1998-09-04,2.718257,2.939254,2.718257,2.762459,2.148836,9969552
1998-09-07,2.909790,3.020288,2.799291,2.983455,2.320743,7628824
1998-09-08,2.990819,3.101317,2.990819,3.012920,2.343662,5068391
1998-09-09,3.057121,3.079217,2.806655,2.814023,2.188946,6188170
1998-09-10,2.710894,2.740358,2.379399,2.600395,2.022771,17031814
1998-09-11,2.578295,2.784554,2.534093,2.659324,2.068610,10777011
1998-09-14,2.725626,2.732989,2.556194,2.593027,2.017040,5355428
1998-09-15,2.593027,2.629869,2.401494,2.578295,2.005580,8258536
1998-09-16,2.593027,2.607759,2.430963,2.460428,1.913895,6429704
1998-09-17,2.401494,2.408863,2.217330,2.268900,1.764911,8227779
1998-09-18,2.261532,2.335197,2.217330,2.261532,1.759179,8604161
1998-09-21,2.202598,2.209967,1.937405,2.025803,1.575813,9650205
1998-09-22,2.151033,2.283632,2.092100,2.261532,1.759179,8189495
1998-09-23,2.364662,2.489897,2.364662,2.430963,1.890975,7376280
1998-09-24,2.578295,2.578295,2.372030,2.423595,1.885244,8112827
1998-09-25,2.246800,2.298364,2.202598,2.261532,1.759179,8261862
1998-09-28,2.313097,2.335197,2.224699,2.335197,1.816481,3962541
1998-09-29,2.305733,2.475160,2.305733,2.445696,1.902435,6656077
1998-09-30,2.401494,2.416231,2.224699,2.232063,1.736257,6614091
1998-10-01,2.173134,2.202598,2.033166,2.055267,1.598732,9500733
1998-10-02,2.099468,2.180498,2.018434,2.084736,1.621655,12549517
1998-10-05,2.040535,2.084736,1.988970,2.062636,1.604464,8237155
1998-10-06,2.033166,2.040535,1.952137,2.018434,1.570081,7905857
