Date,Open,High,Low,Close,Adj Close,Volume
1995-03-15,2.739447,2.784739,2.374188,2.739447,2.136687,71341022
1995-03-16,3.009739,3.104707,2.891395,3.014122,2.350924,17609388
1995-03-17,3.024350,3.028733,2.891395,2.907467,2.267736,13216076
1995-03-20,2.892856,2.907467,2.831493,2.891395,2.255201,5498827
1995-03-21,2.892856,3.059415,2.860713,3.028733,2.362320,6312768
1995-03-22,3.043343,3.621915,3.043343,3.393993,2.647212,14028375
1995-03-23,3.360389,3.455356,3.303408,3.318019,2.587955,6550955
1995-03-24,3.345778,3.363311,3.272726,3.332629,2.599350,1577781
1995-03-27,3.316558,3.379382,3.272726,3.379382,2.635816,1945738
1995-03-28,3.389609,3.621915,3.379382,3.486038,2.719005,10769324
1995-03-29,3.521103,3.607304,3.439285,3.500648,2.730401,3939936
1995-03-30,3.462661,3.469967,3.211363,3.303408,2.576558,2329301
1995-03-31,3.258116,3.424674,3.211363,3.424674,2.671142,3544875
1995-04-03,3.404220,3.408603,3.303408,3.348700,2.611885,2472213
1995-04-04,3.331168,3.348700,3.120778,3.149999,2.456904,2035264
1995-04-05,3.141233,3.149999,3.043343,3.074025,2.397646,3745280
1995-04-06,3.097402,3.149999,3.074025,3.074025,2.397646,2031978
1995-04-07,3.068181,3.120778,3.028733,3.074025,2.397646,1200789
1995-04-10,3.068181,3.287337,3.028733,3.225973,2.516160,2306304
1995-04-11,3.228895,3.272726,3.196752,3.225973,2.516160,1878389
1995-04-12,3.243506,3.310713,3.242045,3.287337,2.564023,3177739
1995-04-13,3.316558,3.318019,3.196752,3.225973,2.516160,602037
1995-04-17,3.199674,3.256655,3.120778,3.120778,2.434113,770410
1995-04-18,3.112012,3.166071,3.028733,3.059415,2.386252,1015989
1995-04-19,3.053571,3.090097,3.028733,3.028733,2.362320,1360128
1995-04-20,3.038960,3.090097,3.028733,3.028733,2.362320,1312490
1995-04-21,3.074025,3.090097,3.074025,3.090097,2.410182,502656
1995-04-24,3.090097,3.500648,3.090097,3.469967,2.706469,4398240
1995-04-25,3.418830,3.455356,3.332629,3.332629,2.599350,983957
1995-04-26,3.332629,3.486038,3.332629,3.455356,2.695074,2085365
1995-04-27,3.433441,3.500648,3.424674,3.469967,2.706469,1733013
1995-04-28,3.448051,3.455356,3.287337,3.332629,2.599350,817226
1995-05-01,3.360389,3.363311,3.303408,3.318019,2.587955,820512
1995-05-02,3.360389,3.363311,3.303408,3.332629,2.599350,272682
1995-05-03,3.303408,3.439285,3.303408,3.424674,2.671142,1546570
1995-05-04,3.439285,3.773863,3.439285,3.637986,2.837520,6742326
1995-05-05,3.637986,3.759252,3.637986,3.683278,2.872845,1885781
1995-05-08,3.667207,3.789934,3.652596,3.744642,2.920708,1213109
1995-05-09,3.740259,3.744642,3.607304,3.637986,2.837520,2058261
1995-05-10,3.591233,3.591233,3.500648,3.515259,2.741796,3379787
1995-05-11,3.545941,3.545941,3.439285,3.439285,2.682538,749877
1995-05-12,3.439285,3.713960,3.439285,3.637986,2.837520,1915349
1995-05-15,3.681817,3.773863,3.652596,3.744642,2.920708,1425834
1995-05-16,3.725648,3.759252,3.713960,3.744642,2.920708,536330
1995-05-17,3.900973,4.169804,3.865908,4.124512,3.216995,5533323
1995-05-18,4.251622,4.368505,4.155194,4.245778,3.311579,2813888
1995-05-19,4.093830,4.200486,4.093830,4.109902,3.205600,1774080
1995-05-22,4.134739,4.169804,3.987174,4.048538,3.157737,607786
1995-05-23,4.061687,4.200486,3.972564,4.200486,3.276252,2675083
1995-05-24,4.280843,4.428408,4.276460,4.321752,3.370836,5276245
1995-05-25,4.397726,4.413798,4.185876,4.185876,3.264856,1796256
1995-05-26,4.193181,4.231168,4.155194,4.155194,3.240925,509226
1995-05-30,4.178570,4.245778,3.972564,3.998863,3.118992,1418442
1995-05-31,3.915583,3.987174,3.820616,3.927272,3.063154,2255381
1995-06-01,3.944804,3.979869,3.896590,3.979869,3.104177,292394
1995-06-02,3.900973,4.079220,3.880518,4.048538,3.157737,1369162
1995-06-05,4.061687,4.109902,4.048538,4.093830,3.193064,768768
1995-06-06,4.047077,4.079220,4.003246,4.003246,3.122411,487050
1995-06-07,4.061687,4.093830,4.003246,4.033928,3.146342,560149
1995-06-08,4.076298,4.109902,4.063148,4.063148,3.169133,251328
1995-06-09,4.105518,4.155194,4.063148,4.109902,3.205600,177408
1995-06-12,4.105518,4.124512,4.093830,4.093830,3.193064,154410
1995-06-13,4.134739,4.155194,4.093830,4.109902,3.205600,285002
1995-06-14,4.090908,4.093830,4.048538,4.048538,3.157737,523189
1995-06-15,4.047077,4.155194,4.017856,4.063148,3.169133,925642
1995-06-16,4.105518,4.109902,4.063148,4.063148,3.169133,175765
1995-06-19,4.063148,4.124512,4.063148,4.109902,3.205600,1864426
1995-06-20,4.105518,4.139122,4.079220,4.124512,3.216995,4287360
1995-06-21,4.163960,4.169804,4.093830,4.093830,3.193064,1582709
1995-06-22,4.076298,4.124512,4.017856,4.033928,3.146342,534688
1995-06-23,4.017856,4.063148,3.941882,4.033928,3.146342,2169141
1995-06-26,4.090908,4.200486,4.063148,4.139122,3.228390,1710016
1995-06-27,4.134739,4.169804,4.048538,4.063148,3.169133,758090
1995-06-28,4.017856,4.033928,3.987174,4.003246,3.122411,358922
1995-06-29,4.033928,4.321752,4.033928,4.276460,3.335510,882112
1995-06-30,4.261850,4.520453,4.261850,4.368505,3.407302,1806933
1995-07-03,4.499999,4.504382,4.459090,4.504382,3.513282,212725
1995-07-05,4.657791,4.779057,4.657791,4.703083,3.668263,2205280
1995-07-06,4.894479,4.931005,4.627109,4.703083,3.668263,1107978
1995-07-07,4.779057,4.900324,4.779057,4.824350,3.762847,744128
1995-07-10,4.869642,4.947077,4.869642,4.931005,3.846036,487872
1995-07-11,4.909090,4.916395,4.831655,4.840421,3.775382,1273066
1995-07-12,4.855031,5.113635,4.855031,5.082953,3.964550,2828672
1995-07-13,5.158927,6.088148,5.158927,5.860226,4.570799,10247777
1995-07-14,5.435064,5.722888,5.250973,5.646914,4.404423,6320982
1995-07-17,5.630843,5.738960,5.630843,5.677596,4.428354,4528832
1995-07-18,5.712661,5.753570,5.478895,5.494966,4.285908,2629909
1995-07-19,5.303570,5.448213,4.809739,5.448213,4.249442,2326837
1995-07-20,5.405843,5.936200,5.372239,5.905518,4.606127,1821717
1995-07-21,5.712661,6.164122,5.630843,6.042856,4.713245,1379840
1995-07-24,6.026784,6.377434,6.026784,6.254707,4.878482,802442
