Date,Open,High,Low,Close,Adj Close,Volume
1998-04-09,41.300999,41.584999,41.070999,41.584999,27.345222,17700
1998-04-10,41.584999,41.584999,41.584999,41.584999,27.345222,0
1998-04-13,41.584999,41.584999,41.584999,41.584999,27.345222,0
1998-04-14,42.096333,43.539333,42.096333,43.539333,28.630333,86400
1998-04-15,43.743999,48.572666,43.459667,47.805668,31.435766,255300
1998-04-16,48.004665,48.572666,46.385666,46.584332,30.632639,67500
1998-04-17,46.641335,47.890999,45.618668,47.549999,31.267649,124800
1998-04-20,48.970333,50.163334,48.575665,50.163334,32.986115,121800
1998-04-21,50.845001,51.413334,49.737331,49.998665,32.877823,102000
1998-04-22,50.049667,51.640331,47.834332,48.283001,31.749655,223200
1998-04-23,48.856667,49.254333,46.300331,49.254333,32.388367,246000
1998-04-24,48.174999,48.174999,47.152332,47.237667,31.062267,103500
1998-04-27,46.981998,46.981998,44.937000,45.561665,29.960165,75000
1998-04-28,46.016335,48.004665,45.959332,47.493332,31.230383,63900
1998-04-29,47.635334,48.231998,47.209332,47.834332,31.454617,65400
1998-04-30,48.004665,49.311333,47.890999,48.979000,32.207321,64800
1998-05-01,48.979000,48.979000,48.979000,48.979000,32.207321,0
1998-05-04,49.709000,50.788334,49.709000,50.277000,33.060848,62700
1998-05-05,49.993000,50.277000,49.140667,50.049667,32.911366,52500
1998-05-06,49.936333,50.680332,48.572666,50.248665,33.042217,49200
1998-05-07,49.055668,50.390667,48.856667,48.856667,32.126877,105600
1998-05-08,48.856667,49.993000,48.856667,49.993000,32.874100,63900
1998-05-11,49.538666,49.936333,49.140667,49.311333,32.425858,26700
1998-05-12,49.424999,49.424999,48.288666,48.658001,31.996244,15300
1998-05-13,48.743000,50.277000,48.572666,49.993000,32.874100,44100
1998-05-14,50.049667,50.049667,48.686333,49.140667,32.313629,153600
1998-05-15,49.424999,49.907665,48.743000,49.709000,32.687340,167100
1998-05-18,49.424999,49.851002,48.572666,49.197666,32.351109,57600
1998-05-19,49.538666,50.504333,49.424999,50.334000,33.098335,37200
1998-05-20,50.277000,51.356335,50.277000,50.902000,33.471840,53400
1998-05-21,50.902000,50.902000,50.902000,50.902000,33.471840,0
1998-05-22,50.788334,52.095001,50.788334,51.527000,33.882820,108900
1998-05-25,51.527000,53.287998,51.413334,52.833332,34.741817,57300
1998-05-26,53.117664,53.458332,52.833332,53.060665,34.891315,114600
1998-05-27,52.265331,52.435665,50.561001,50.561001,33.247597,59100
1998-05-28,51.811001,52.265331,51.129333,51.793999,34.058384,43500
1998-05-29,51.924667,52.776665,51.583668,52.265331,34.368313,69000
1998-06-01,52.265331,52.265331,52.265331,52.265331,34.368313,0
1998-06-02,51.811001,52.606335,51.811001,52.322334,34.405811,60900
1998-06-03,52.549332,53.401665,52.549332,53.060665,34.891315,119700
1998-06-04,53.117664,53.344666,52.805000,52.833332,34.741817,45600
1998-06-05,53.430000,55.389999,53.430000,55.162666,36.273540,91500
1998-06-08,55.674000,57.378334,55.674000,57.094334,37.543747,31200
1998-06-09,57.094334,59.920666,56.923664,57.974667,38.122635,87600
1998-06-10,57.378334,59.082664,57.151001,58.798664,38.664474,95700
1998-06-11,58.798664,58.798664,58.798664,58.798664,38.664474,0
1998-06-12,57.804333,58.741665,57.378334,57.378334,37.730503,164100
1998-06-15,57.946335,58.117001,56.810333,57.949333,38.105976,84600
1998-06-16,57.191002,59.355331,57.191002,59.071335,38.843773,115500
1998-06-17,59.650665,62.264000,59.650665,62.264000,40.943192,62400
1998-06-18,62.775333,63.542332,60.843666,61.923000,40.718952,241800
1998-06-19,62.775333,63.343334,61.411999,61.752666,40.606945,156000
1998-06-22,61.951668,61.951668,59.931999,59.934666,39.411480,115500
1998-06-23,60.218666,60.218666,56.526001,58.627998,38.552246,228000
1998-06-24,59.196335,59.565666,57.946335,59.270000,38.974419,100200
1998-06-25,60.161999,61.070999,59.650665,61.070999,40.158699,171900
1998-06-26,61.355000,62.548000,61.241333,61.411999,40.382942,90600
1998-06-29,61.070999,62.207333,60.872002,61.860664,40.677963,60300
1998-06-30,61.809666,62.434334,61.355000,61.639000,40.532204,89400
1998-07-01,61.923000,61.923000,61.070999,61.355000,40.345459,111000
1998-07-02,61.355000,62.036667,60.048332,60.559666,39.822456,94500
1998-07-03,60.616333,61.241333,60.048332,60.502998,39.785206,68100
